room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
13428305,66841505,Private room,,24,5,4.5,2,1.0,30.0,2.0,56.162098,10.196456,2016-10-29 01:04:31.537288
14979401,58892616,Private room,,24,2,,2,1.0,32.0,1.0,56.169891,10.216834,2016-10-29 01:04:22.912821
9020102,14513767,Entire home/apt,,24,7,5.0,4,2.0,49.0,2.0,56.154645,10.184905,2016-10-29 01:04:15.308569
5506388,6143853,Entire home/apt,,5,9,5.0,4,2.0,151.0,3.0,56.198617,10.253564,2016-10-29 01:04:10.101197
4783208,9848256,Entire home/apt,,24,0,,2,1.0,75.0,1.0,56.144519,10.193943,2016-10-29 01:03:49.108348
3431676,14601334,Entire home/apt,,24,22,4.5,6,2.0,151.0,2.0,56.144051,10.193766,2016-10-29 01:03:42.700239
7313931,7299073,Entire home/apt,,24,2,,3,1.0,47.0,3.0,56.159303,10.211955,2016-10-29 01:03:34.972740
15463344,33297396,Entire home/apt,,24,1,,2,1.0,48.0,2.0,56.147248,10.197303,2016-10-29 01:03:25.831639
10714827,55373229,Entire home/apt,,13,2,,5,4.0,113.0,1.0,56.236069,10.191222,2016-10-29 01:03:21.739218
12198317,65580801,Entire home/apt,,24,10,4.5,4,1.0,68.0,1.0,56.161948,10.210409,2016-10-29 01:03:18.693163
11779685,17877489,Entire home/apt,,24,4,5.0,5,3.0,136.0,4.0,56.160943,10.208678,2016-10-29 01:03:14.185417
9837722,16737622,Entire home/apt,,24,0,,2,1.0,68.0,1.0,56.151092,10.206076,2016-10-29 01:03:08.341526
14610306,45380678,Private room,,1,3,4.5,3,1.0,98.0,1.0,56.139816,10.196072,2016-10-29 01:03:04.903982
13097634,63278654,Entire home/apt,,24,0,,7,2.0,143.0,2.0,56.141875,10.202996,2016-10-29 01:02:41.116720
3216864,8875252,Private room,,10,23,4.5,3,1.0,38.0,1.0,56.153808,10.136392,2016-10-29 01:02:30.090808
12646441,39132004,Entire home/apt,,24,11,5.0,2,1.0,61.0,1.0,56.16099,10.210419,2016-10-29 01:02:04.851531
4732771,24364794,Entire home/apt,,24,1,,4,1.0,75.0,1.0,56.146588,10.189856,2016-10-29 01:01:57.932316
15427815,69084244,Entire home/apt,,1,3,4.5,2,2.0,45.0,1.0,56.141617,10.193123,2016-10-29 01:01:51.918984
15162682,396365,Entire home/apt,,24,0,,2,1.0,132.0,4.0,56.158159,10.205234,2016-10-29 01:01:40.616669
3759193,19237859,Private room,,6,22,4.5,1,1.0,33.0,1.0,56.153213,10.157563,2016-10-29 01:01:38.769113
7080755,37121005,Entire home/apt,,24,1,,3,1.0,91.0,3.0,56.154631,10.194334,2016-10-29 01:01:32.195361
3077388,15631301,Private room,,24,11,5.0,2,1.0,61.0,2.0,56.159155,10.19791,2016-10-29 01:01:15.070295
6517017,34080520,Entire home/apt,,24,0,,4,2.0,75.0,1.0,56.16221,10.213559,2016-10-29 01:00:45.401642
10099836,51828491,Entire home/apt,,5,0,,4,2.0,149.0,4.0,56.20008,10.252805,2016-10-29 01:00:42.973030
6588171,24396250,Private room,,24,0,,2,1.0,136.0,1.0,56.151459,10.204391,2016-10-29 01:00:38.816431
5912966,25934678,Entire home/apt,,4,6,5.0,2,1.0,32.0,1.0,56.176483,10.204241,2016-10-29 01:00:30.201232
11545355,31325005,Private room,,24,0,,1,1.0,15.0,4.0,56.170412,10.215484,2016-10-29 01:00:13.534441
11889146,16554435,Entire home/apt,,24,2,,2,1.0,42.0,7.0,56.165433,10.211271,2016-10-29 01:00:02.330466
4075460,21137090,Private room,,24,61,5.0,1,1.0,38.0,2.0,56.143809,10.196026,2016-10-29 00:59:49.549904
1928798,9989278,Entire home/apt,,24,2,,3,1.0,72.0,1.0,56.156762,10.195042,2016-10-29 00:59:46.873654
